last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Kauder,Volker,CDU/CSU,Baden-Württemberg,Rottweil – Tuttlingen,285,,Volker Kauder
Kaufmann,Dr. Stefan,CDU/CSU,Baden-Württemberg,Stuttgart I,258,StefanKaufmann,Stefan Kaufmann
Kekeritz,Uwe,Bündnis 90/Die Grünen,Bayern,Fürth,243,Uwekekeritz,Uwe Kekeritz
Kelber,Ulrich,SPD  *,Nordrhein-Westfalen,Bonn,96,,Ulrich Kelber
Kemmer,Ronja,CDU/CSU,Baden-Württemberg,Ulm,291,RonjaKemmer,Ronja Kemmer
Kemmerich,Thomas L.,FDP  *,Thüringen,Erfurt – Weimar – Weimarer Land II,193,,Thomas Kemmerich
Kessler,Dr. Achim,Die Linke,Hessen,Frankfurt am Main I,182,AchimKessler,Achim Kessler
Kestner,Jens,AfD,Niedersachsen,Goslar – Northeim – Osterode,52,KestnerJens,Jens Kestner
Keul,Katja,Bündnis 90/Die Grünen,Niedersachsen,Nienburg II – Schaumburg,40,KatjaKeul,Katja Keul
Keuter,Stefan,AfD,Nordrhein-Westfalen,Essen III,120,StefanKeuterAfD,Stefan Keuter
Kiesewetter,Roderich,CDU/CSU,Baden-Württemberg,Aalen – Heidenheim,270,RKiesewetter,Roderich Kiesewetter
Kießling,Michael,CDU/CSU,Bayern,Starnberg – Landsberg am Lech,224,Kiessling_MdB,Michael Kiessling
Kindler,Sven-Christian,Bündnis 90/Die Grünen,Niedersachsen,Stadt Hannover II,42,sven_kindler,Sven-Christian Kindler
Kippels,Dr. Georg,CDU/CSU,Nordrhein-Westfalen,Rhein-Erft-Kreis I,91,,Georg Kippels
Kipping,Katja,Die Linke,Sachsen,Dresden I,159,katjakipping,Katja Kipping
Kiziltepe,Cansel,SPD,Berlin,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,83,CanselK,Cansel Kiziltepe
Klare,Arno,SPD,Nordrhein-Westfalen,Mülheim – Essen I,118,arnoklare,Arno Klare
Klein,Karsten,FDP,Bayern,Aschaffenburg,247,,Karsten Klein
Klein,Volkmar,CDU/CSU,Nordrhein-Westfalen,Siegen-Wittgenstein,148,VolkmarKlein,Volkmar Klein
Klein-Schmeink,Maria,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Münster,129,MariaKlSchmeink,Maria Klein-Schmeink
Kleinwächter,Norbert,AfD,Brandenburg,,,NKleinwaechter,Norbert Kleinwachter
Klingbeil,Lars,SPD,,,,larsklingbeil,Lars Klingbeil
Klinge,Dr. Marcel,FDP,Baden-Württemberg,Schwarzwald-Baar,286,,Marcel Klinge
Kluckert,Daniela,FDP,Berlin,Berlin-Pankow,76,DanielaKluckert,Daniela Kluckert
Knoerig,Axel,CDU/CSU,Niedersachsen,Diepholz – Nienburg I,33,axel_knoerig,Axel Knoerig
Kober,Pascal,FDP,Baden-Württemberg,Reutlingen,289,pascalkober,Pascal Kober
Köhler,Dr. Lukas,FDP,Bayern,München-West/Mitte,220,,Lukas Kohler
König,Jörn,AfD,Niedersachsen,Stadt Hannover I,41,JoernKoenigAfD,Jorn Konig
Koeppen,Jens,CDU/CSU,Brandenburg,Uckermark – Barnim I,57,jenskoeppen,Jens Koeppen
Körber,Carsten,CDU/CSU,Sachsen,Zwickau,165,,Carsten Korber
Kofler,Dr. Bärbel,SPD,Bayern,Traunstein,225,baerbelkofler,Barbel Kofler
Kolbe,Daniela,SPD,Sachsen,Leipzig I,152,danielakolbe,Daniela Kolbe
Komning,Enrico,AfD,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,16,EnricoKomning,Enrico Komning
Konrad,Carina,FDP,Rheinland-Pfalz,Mosel/Rhein-Hunsrück,200,carina_konrad,Carina Konrad
Koob,Markus,CDU/CSU,Hessen,Hochtaunus,176,koobmar,Markus Koob
Korkmaz-Emre,Elvan,SPD,Nordrhein-Westfalen,Gütersloh I,131,korkmazgt,Elvan Korkmaz-Emre
Korte,Jan,Die Linke,Sachsen-Anhalt,Anhalt,71,jankortemdb,Jan Korte
Kotré,Steffen,AfD,Brandenburg,,,steffenkotre,Steffen Kotre
Kotting-Uhl,Sylvia,Bündnis 90/Die Grünen,Baden-Württemberg,Karlsruhe-Stadt,271,BabettesChefin,Sylvia Kotting-Uhl
Kraft,Dr. Rainer,AfD,Bayern,Augsburg-Land,253,Dr_Rainer_Kraft,Rainer Kraft
Kramme,Anette,SPD,Bayern,Bayreuth,237,,Anette Kramme
Krauß,Alexander,CDU/CSU,Sachsen,Erzgebirgskreis I,164,,Alexander Krauss
Krellmann,Jutta,Die Linke,Niedersachsen,Hameln-Pyrmont – Holzminden,46,JuttaKrellmann,Jutta Krellmann
Krichbaum,Gunther,CDU/CSU,Baden-Württemberg,Pforzheim,279,,Gunther Krichbaum
Krings,Dr. Günter,CDU/CSU,Nordrhein-Westfalen,Mönchengladbach,109,guenterkrings,Gunter Krings
Krischer,Oliver,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Düren,90,Oliver_Krischer,Oliver Krischer
Kruse,Rüdiger,CDU/CSU,Hamburg,Hamburg-Eimsbüttel,20,ruedigerkruse,Rudiger Kruse
Kubicki,Wolfgang,FDP,Schleswig-Holstein,Steinburg – Dithmarschen Süd,3,,Wolfgang Kubicki
Kühn (Tübingen),Christian,Bündnis 90/Die Grünen,Baden-Württemberg,Tübingen,290,ChrisKuehn_mdb,Christian Kuhn
Kühn (Dresden),Stephan,Bündnis 90/Die Grünen,Sachsen,Dresden II – Bautzen II,160,stephankuehn,Stephan Kuhn
Kühne,Dr. Roy,CDU/CSU,Niedersachsen,Goslar – Northeim – Osterode,52,dr_roy_kuehne,Roy Kuhne
Künast,Renate,Bündnis 90/Die Grünen,Berlin,Berlin-Tempelhof-Schöneberg,81,renatekuenast,Renate Kunast
Kuffer,Michael,CDU/CSU,Bayern,München-Süd,219,MichaelKuffer,Michael Kuffer
Kuhle,Konstantin,FDP,Niedersachsen,Göttingen,53,konstantinkuhle,Konstantin Kuhle
Kulitz,Alexander,FDP,Baden-Württemberg,Ulm,291,,Alexander Kulitz
Kurth,Markus,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Dortmund I,142,markuskurthmdb,Markus Kurth
Lämmel,Andreas G.,CDU/CSU,Sachsen,Dresden I,159,,Andreas Lammel
Lambrecht,Christine,SPD,Hessen,Bergstraße,188,,Christine Lambrecht
Lambsdorff,Alexander Graf,FDP,Nordrhein-Westfalen,Bonn,96,,Alexander Lambsdorff
Lamers,Prof. h. c. Dr. Karl A.,CDU/CSU,Baden-Württemberg,Heidelberg,274,,Karl Lamers
Landgraf,Katharina,CDU/CSU,Sachsen,Leipzig-Land,154,,Katharina Landgraf
Lange (Backnang),Christian,SPD,Baden-Württemberg,Backnang – Schwäbisch Gmünd,269,LangeMdB,Christian Lange
Lange,Ulrich,CDU/CSU,Bayern,Donau-Ries,254,UlrichLange,Ulrich Lange
Launert,Dr. Silke,CDU/CSU,Bayern,Bayreuth,237,DrLaunert,Silke Launert
Lauterbach,Prof. Dr. Karl,SPD,Nordrhein-Westfalen,Leverkusen – Köln IV,101,karl_lauterbach,Karl Lauterbach
Lay,Caren,Die Linke,Sachsen,Bautzen I,156,CarenLay,Caren Lay
Lazar,Monika,Bündnis 90/Die Grünen,Sachsen,Leipzig II,153,monikalazar,Monika Lazar
Lechte,Ulrich,FDP,Bayern,Regensburg,233,,Ulrich Lechte
Lehmann,Jens,CDU/CSU,Sachsen,Leipzig I,152,,Jens Lehmann
Lehmann,Sven,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Köln II,94,svenlehmann,Sven Lehmann
Lehmann,Sylvia,SPD,Brandenburg,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,62,,Sylvia Lehmann
Lehrieder,Paul,CDU/CSU,Bayern,Würzburg,251,,Paul Lehrieder
Leidig,Sabine,Die Linke,Hessen,Werra-Meißner – Hersfeld-Rotenburg,169,sabineleidig,Sabine Leidig
Leikert,Dr. Katja,CDU/CSU,Hessen,Hanau,180,kleikert,Katja Leikert
Lemke,Steffi,Bündnis 90/Die Grünen,Sachsen-Anhalt,Dessau – Wittenberg,70,steffilemke,Steffi Lemke
Lenkert,Ralph,Die Linke,Thüringen,Jena – Sömmerda – Weimarer Land I,191,,Ralph Lenkert
Lenz,Dr. Andreas,CDU/CSU,Bayern,Erding – Ebersberg,213,DerLenzMdB,Andreas Lenz
Leutert,Michael,Die Linke,Sachsen,Chemnitz,162,MichaelLeutert,Michael Leutert
Leyen,Dr. Ursula von der,CDU/CSU  *,Niedersachsen,Stadt Hannover II,42,,Ursula Leyen
Lezius,Antje,CDU/CSU,Rheinland-Pfalz,Kreuznach,201,,Antje Lezius
Liebich,Stefan,Die Linke,Berlin,Berlin-Pankow,76,berlinliebich,Stefan Liebich
