last_name,first_name,party,bundesland,wahlkreis,wahlkreis_nr,twitter,name_matching
Özdemir,Cem,Bündnis 90/Die Grünen,Baden-Württemberg,Stuttgart I,258,cem_oezdemir,Cem Ozdemir
Özdemir (Duisburg),Mahmut,SPD,Nordrhein-Westfalen,Duisburg II,116,oezdemir_spd,Mahmut Ozdemir
Özoğuz,Aydan,SPD,Hamburg,Hamburg-Wandsbek,22,oezoguz,Aydan Ozoguz
Oppermann,Thomas,SPD,Niedersachsen,Göttingen,53,ThomasOppermann,Thomas Oppermann
Ortleb,Josephine,SPD,Saarland,Saarbrücken,296,joloulou,Josephine Ortleb
Oßner,Florian,CDU/CSU,Bayern,Landshut,228,Florian_Ossner,Florian Ossner
Ostendorff,Friedrich,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Coesfeld – Steinfurt II,127,,Friedrich Ostendorff
Oster,Josef,CDU/CSU,Rheinland-Pfalz,Koblenz,199,josefoster,Josef Oster
Otte,Henning,CDU/CSU,Niedersachsen,Celle – Uelzen,44,,Henning Otte
Otten,Gerold,AfD,Bayern,München-Land,221,ttte94,Gerold Otten
Pahlmann,Ingrid,CDU/CSU,Niedersachsen,Gifhorn – Peine,45,,Ingrid Pahlmann
Pantel,Sylvia,CDU/CSU,Nordrhein-Westfalen,Düsseldorf II,107,SylviaPantel,Sylvia Pantel
Paschke,Markus,SPD,Niedersachsen,Unterems,25,markuspaschke,Markus Paschke
Pasemann,Frank,AfD,Sachsen-Anhalt,Magdeburg,69,Frank_Pasemann,Frank Pasemann
Patzelt,Martin,CDU/CSU,Brandenburg,Frankfurt (Oder) – Oder-Spree,63,MPatzeltCDU,Martin Patzelt
Pau,Petra,Die Linke,Berlin,Berlin-Marzahn-Hellersdorf,85,PetraPauMaHe,Petra Pau
Paus,Lisa,Bündnis 90/Die Grünen,Berlin,Berlin-Charlottenburg-Wilmersdorf,80,LisaPaus,Lisa Paus
Pellmann,Sören,Die Linke,Sachsen,Leipzig II,153,linkepelli,Soren Pellmann
Perli,Victor,Die Linke,Niedersachsen,Salzgitter – Wolfenbüttel,49,victorperli,Victor Perli
Peterka,Tobias Matthias,AfD,Bayern,Bayreuth,237,TobiasMPeterka,Tobias Peterka
Petry,Christian,SPD,Saarland,St. Wendel,298,#!,Christian Petry
Petry,Dr. Frauke,fraktionslos,Sachsen,Sächsische Schweiz-Osterzgebirge,158,,Frauke Petry
Pfeiffer,Dr. Joachim,CDU/CSU,Baden-Württemberg,Waiblingen,264,,Joachim Pfeiffer
Pflüger,Tobias,Die Linke,Baden-Württemberg,Freiburg,281,tpflueger,Tobias Pfluger
Pilger,Detlev,SPD,Rheinland-Pfalz,Koblenz,199,,Detlev Pilger
Pilsinger,Stephan,CDU/CSU,Bayern,München-West/Mitte,220,stephpilsinger,Stephan Pilsinger
Ploß,Dr. Christoph,CDU/CSU,Hamburg,Hamburg-Nord,21,,Christoph Ploss
Podolay,Paul Viktor,AfD,Bayern,Erlangen,242,paul_podolay,Paul Podolay
Pohl,Jürgen,AfD,Thüringen,Eichsfeld – Nordhausen – Kyffhäuserkreis,189,Pohl_MdB,Jurgen Pohl
Polat,Filiz,Bündnis 90/Die Grünen,Niedersachsen,Osnabrück-Land,38,filizgreen,Filiz Polat
Pols,Eckhard,CDU/CSU,Niedersachsen,Lüchow-Dannenberg – Lüneburg,37,,Eckhard Pols
Poschmann,Sabine,SPD,Nordrhein-Westfalen,Dortmund II,143,,Sabine Poschmann
Post (Minden),Achim,SPD,Nordrhein-Westfalen,Minden-Lübbecke I,134,achim_p,Achim Post
Post,Florian,SPD,Bayern,München-Nord,217,FlorianPost,Florian Post
Pronold,Florian,SPD,Bayern,Rottal-Inn,230,florianpronold,Florian Pronold
Protschka,Stephan,AfD,Bayern,Rottal-Inn,230,ProtschkaStepha,Stephan Protschka
Raabe,Dr. Sascha,SPD,Hessen,Hanau,180,,Sascha Raabe
Rabanus,Martin,SPD,Hessen,Rheingau-Taunus – Limburg,178,martinrabanus,Martin Rabanus
Rachel,Thomas,CDU/CSU,Nordrhein-Westfalen,Düren,90,_ThomasRachel,Thomas Rachel
Radomski,Kerstin,CDU/CSU,Nordrhein-Westfalen,Krefeld II – Wesel II,114,,Kerstin Radomski
Radwan,Alexander,CDU/CSU,Bayern,Bad Tölz-Wolfratshausen – Miesbach,223,AlexanderRadwan,Alexander Radwan
Rainer,Alois,CDU/CSU,Bayern,Straubing,231,,Alois Rainer
Ramsauer,Dr. Peter,CDU/CSU,Bayern,Traunstein,225,,Peter Ramsauer
Rawert,Mechthild,SPD,Berlin,Berlin-Tempelhof-Schöneberg,81,MechthildRawert,Mechthild Rawert
Rehberg,Eckhardt,CDU/CSU,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte II – Landkreis Rostock III,17,,Eckhardt Rehberg
Reichardt,Martin,AfD,Sachsen-Anhalt,,,M_Reichardt_AfD,Martin Reichardt
Reimann,Dr. Carola,SPD  *,Niedersachsen,Braunschweig,50,,Carola Reimann
Reinhold,Hagen,FDP,Mecklenburg-Vorpommern,Rostock – Landkreis Rostock II,14,,Hagen Reinhold
Remmers,Ingrid,Die Linke,Nordrhein-Westfalen,Gelsenkirchen,123,ingrid_remmers,Ingrid Remmers
Renner,Martin Erwin,AfD,Nordrhein-Westfalen,Mettmann I,104,Renner_AfD,Martin Renner
Renner,Martina,Die Linke,Thüringen,Erfurt – Weimar – Weimarer Land II,193,martinarenner,Martina Renner
Reusch,Roman Johannes,AfD,Brandenburg,,,,Roman Reusch
Reuther,Bernd,FDP,Nordrhein-Westfalen,Wesel I,113,,Bernd Reuther
Riebsamen,Lothar,CDU/CSU,Baden-Württemberg,Bodensee,293,,Lothar Riebsamen
Rief,Josef,CDU/CSU,Baden-Württemberg,Biberach,292,,Josef Rief
Riexinger,Bernd,Die Linke,Baden-Württemberg,Stuttgart II,259,b_riexinger,Bernd Riexinger
Rimkus,Andreas,SPD,Nordrhein-Westfalen,Düsseldorf II,107,Andreas_Rimkus,Andreas Rimkus
Rix,Sönke,SPD,Schleswig-Holstein,Rendsburg-Eckernförde,4,SoenkeRix,Sonke Rix
Röring,Johannes,CDU/CSU,Nordrhein-Westfalen,Borken II,126,,Johannes Roring
Röspel,René,SPD,Nordrhein-Westfalen,Hagen – Ennepe-Ruhr-Kreis I,138,,Rene Rospel
Rößner,Tabea,Bündnis 90/Die Grünen,Rheinland-Pfalz,Mainz,205,TabeaRoessner,Tabea Rossner
Röttgen,Dr. Norbert,CDU/CSU,Nordrhein-Westfalen,Rhein-Sieg-Kreis II,98,n_roettgen,Norbert Rottgen
Rohde,Dennis,SPD,Niedersachsen,Oldenburg – Ammerland,27,DennisRohde,Dennis Rohde
Rosemann,Dr. Martin,SPD,Baden-Württemberg,Tübingen,290,MartinRosemann,Martin Rosemann
Rossmann,Dr. Ernst Dieter,SPD,Schleswig-Holstein,Pinneberg,7,edrossmann,Ernst Rossmann
Roth (Augsburg),Claudia,Bündnis 90/Die Grünen,Bayern,Augsburg-Stadt,252,,Claudia Roth
Roth (Heringen),Michael,SPD,Hessen,Werra-Meißner – Hersfeld-Rotenburg,169,MiRo_SPD,Michael Roth
Rottmann,Dr. Manuela,Bündnis 90/Die Grünen,Bayern,Bad Kissingen,248,ManuelaRottmann,Manuela Rottmann
Rouenhoff,Stefan,CDU/CSU,Nordrhein-Westfalen,Kleve,112,StefanRouenhoff,Stefan Rouenhoff
Rüddel,Erwin,CDU/CSU,Rheinland-Pfalz,Neuwied,197,erwin_rueddel,Erwin Ruddel
Rüffer,Corinna,Bündnis 90/Die Grünen,Rheinland-Pfalz,Trier,203,crueffer,Corinna Ruffer
Rüthrich,Susann,SPD,Sachsen,Meißen,155,,Susann Ruthrich
Rützel,Bernd,SPD,Bayern,Main-Spessart,249,ruetzelbernd,Bernd Rutzel
Ruppert,Dr. Stefan,FDP  *,Hessen,Hochtaunus,176,,Stefan Ruppert
Rupprecht,Albert,CDU/CSU,Bayern,Weiden,235,,Albert Rupprecht
Ryglewski,Sarah,SPD,Bremen,Bremen I,54,RyglewskiS,Sarah Ryglewski
Saathoff,Johann,SPD,Niedersachsen,Aurich – Emden,24,johann_saathoff,Johann Saathoff
Sarrazin,Manuel,Bündnis 90/Die Grünen,Hamburg,Hamburg-Bergedorf – Harburg,23,ManuelSarrazin,Manuel Sarrazin
Sattelberger,Dr. h. c. Thomas,FDP,Bayern,München-Süd,219,th_sattelberger,Thomas Sattelberger
Sauer,Stefan,CDU/CSU,Hessen,Groß-Gerau,184,,Stefan Sauer
Sauter,Christian,FDP,Nordrhein-Westfalen,Lippe I,135,,Christian Sauter
Schäfer (Saalstadt),Anita,CDU/CSU,Rheinland-Pfalz,Pirmasens,210,SchaeferCDU,Anita Schafer
Schäfer (Bochum),Axel,SPD,Nordrhein-Westfalen,Bochum I,140,,Axel Schafer
Schäffler,Frank,FDP,Nordrhein-Westfalen,Minden-Lübbecke I,134,f_schaeffler,Frank Schaffler
Schäuble,Dr. Wolfgang,CDU/CSU,Baden-Württemberg,Offenburg,284,,Wolfgang Schauble
Schauws,Ulle,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Krefeld II – Wesel II,114,ulle_schauws,Ulle Schauws
Scheer,Dr. Nina,SPD,Schleswig-Holstein,Herzogtum Lauenburg – Stormarn-Süd,10,ninascheer_SPD,Nina Scheer
Scheuer,Andreas,CDU/CSU,Bayern,Passau,229,AndiScheuer,Andreas Scheuer
Schick,Dr. Gerhard,Bündnis 90/Die Grünen  *,Baden-Württemberg,Mannheim,275,,Gerhard Schick
Schieder,Marianne,SPD,Bayern,Schwandorf,234,m_schieder,Marianne Schieder
Schiefner,Udo,SPD,Nordrhein-Westfalen,Viersen,111,UdoSchiefner,Udo Schiefner
Schielke-Ziesing,Ulrike,AfD,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte II – Landkreis Rostock III,17,ulschzi,Ulrike Schielke-Ziesing
Schimke,Jana,CDU/CSU,Brandenburg,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,62,JanaSchimke,Jana Schimke
Schinnenburg,Dr. Wieland,FDP,Hamburg,Hamburg-Wandsbek,22,wschinnenburg,Wieland Schinnenburg
Schipanski,Tankred,CDU/CSU,Thüringen,Gotha – Ilm-Kreis,192,tschipanski,Tankred Schipanski
Schlund,Dr. Robby,AfD,Thüringen,Gera – Greiz – Altenburger Land,194,drrobbyschlund,Robby Schlund
Schmid,Dr. Nils,SPD,Baden-Württemberg,Nürtingen,262,nilsschmid,Nils Schmid
Schmidt (Fürth),Christian,CDU/CSU,Bayern,Fürth,243,,Christian Schmidt
Schmidt (Wetzlar),Dagmar,SPD,Hessen,Lahn-Dill,172,dieschmidt,Dagmar Schmidt
Schmidt,Dr. Frithjof,Bündnis 90/Die Grünen,Nordrhein-Westfalen,Bochum I,140,,Frithjof Schmidt
Schmidt,Stefan,Bündnis 90/Die Grünen,Bayern,Regensburg,233,Schmidt_MdB,Stefan Schmidt
Schmidt (Aachen),Ulla,SPD,,,,,Ulla Schmidt
Schmidt,Uwe,SPD,Bremen,Bremen II – Bremerhaven,55,,Uwe Schmidt
Schmidtke,Prof. Dr. Claudia,CDU/CSU,Schleswig-Holstein,Lübeck,11,,Claudia Schmidtke
Schneider (Erfurt),Carsten,SPD,Thüringen,Erfurt – Weimar – Weimarer Land II,193,schneidercar,Carsten Schneider
Schneider,Jörg,AfD,Nordrhein-Westfalen,Gelsenkirchen,123,Schneider_AfD,Jorg Schneider
Schneidewind-Hartnagel,Charlotte,Bündnis 90/Die Grünen,Baden-Württemberg,Odenwald – Tauber,276,,Charlotte Schneidewind-Hartnagel
Schnieder,Patrick,CDU/CSU,Rheinland-Pfalz,Bitburg,202,PSchnieder,Patrick Schnieder
Schön,Nadine,CDU/CSU,Saarland,St. Wendel,298,NadineSchoen,Nadine Schon
Schraps,Johannes,SPD,Niedersachsen,Hameln-Pyrmont – Holzminden,46,jschraps,Johannes Schraps
Schreiber,Eva-Maria,Die Linke,Bayern,München-Land,221,mdb_schreiber,Eva-Maria Schreiber
Schreiner,Felix,CDU/CSU,Baden-Württemberg,Waldshut,288,felixschreiner,Felix Schreiner
Schrodi,Michael,SPD,Bayern,Fürstenfeldbruck,215,mischrodi,Michael Schrodi
Schüle,Dr. Manja,SPD  *,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,,Manja Schule
Schulte,Ursula,SPD,Nordrhein-Westfalen,Borken II,126,,Ursula Schulte
Schulz,Jimmy,FDP  **,Bayern,München-Land,221,,Jimmy Schulz
Schulz,Martin,SPD,Nordrhein-Westfalen,,,MartinSchulz,Martin Schulz
Schulz (Spandau),Swen,SPD,Berlin,Berlin-Spandau – Charlottenburg Nord,78,swenschulz,Swen Schulz
Schulz,Uwe,AfD,Hessen,Gießen,173,Uwe_Schulz_AfD,Uwe Schulz
Schulz-Asche,Kordula,Bündnis 90/Die Grünen,Hessen,Main-Taunus,181,K_SA,Kordula Schulz-Asche
Schulze,Dr. Klaus-Peter,CDU/CSU,Brandenburg,Cottbus – Spree-Neiße,64,,Klaus-Peter Schulze
Schummer,Uwe,CDU/CSU,Nordrhein-Westfalen,Viersen,111,UweSchummer,Uwe Schummer
Schurer,Ewald,SPD  **,Bayern,Erding – Ebersberg,213,,Ewald Schurer
Schuster (Weil am Rhein),Armin,CDU/CSU,Baden-Württemberg,Lörrach – Müllheim,282,armin_schuster,Armin Schuster
Schwabe,Frank,SPD,Nordrhein-Westfalen,Recklinghausen I,121,FrankSchwabe,Frank Schwabe
Schwartze,Stefan,SPD,,,,s_schwartze,Stefan Schwartze
Schwarz,Andreas,SPD,,,,Schwarz_MdB,Andreas Schwarz
Schwarzelühr-Sutter,Rita,SPD,Baden-Württemberg,Waldshut,288,rischwasu,Rita Schwarzeluhr-Sutter
Schweiger,Torsten,CDU/CSU,,,,cdu_schweiger,Torsten Schweiger
Seestern-Pauly,Matthias,FDP,Niedersachsen,Osnabrück-Land,38,mseesternpauly,Matthias Seestern-Pauly
Seif,Detlef,CDU/CSU,,,,,Detlef Seif
Seitz,Thomas,AfD,,,,Th_Seitz_AfD,Thomas Seitz
Selle,Johannes,CDU/CSU,Thüringen,Jena – Sömmerda – Weimarer Land I,191,,Johannes Selle
Sendker,Reinhold,CDU/CSU,,,,,Reinhold Sendker
Sensburg,Prof. Dr. Patrick,CDU/CSU,,,,PatrickSensburg,Patrick Sensburg
Sichert,Martin,AfD,,,,AfDNbg,Martin Sichert
Siebert,Bernd,CDU/CSU,Hessen,Schwalm-Eder,170,berndsiebert,Bernd Siebert
Silberhorn,Thomas,CDU/CSU,,,,SilberhornMdB,Thomas Silberhorn
Simon,Björn,CDU/CSU,,,,,Bjorn Simon
Sitta,Frank,FDP,,,,,Frank Sitta
Sitte,Dr. Petra,Die Linke,Sachsen-Anhalt,Halle,72,Petra_Sitte_MdB,Petra Sitte
Skudelny,Judith,FDP,Baden-Württemberg,Stuttgart I,258,,Judith Skudelny
Solms,Dr. Hermann Otto,FDP,Hessen,Gießen,173,,Hermann Solms
Sommer,Helin Evrim,Die Linke,Berlin,,,hesommer,Helin Sommer
Sorge,Tino,CDU/CSU,Sachsen-Anhalt,Magdeburg,69,TinoSorge,Tino Sorge
Spahn,Jens,CDU/CSU,Nordrhein-Westfalen,Steinfurt I – Borken I,124,jensspahn,Jens Spahn
Spangenberg,Detlev,AfD,Sachsen,Nordsachsen,151,,Detlev Spangenberg
Spaniel,Dr. Dirk,AfD,Baden-Württemberg,Stuttgart I,258,DirkSpaniel,Dirk Spaniel
Spiering,Rainer,SPD,Niedersachsen,Osnabrück-Land,38,,Rainer Spiering
Springer,René,AfD,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,SpringerRen,Rene Springer
Stadler,Svenja,SPD,Niedersachsen,Harburg,36,stadler_svenja,Svenja Stadler
Staffler,Katrin,CDU/CSU,Bayern,Fürstenfeldbruck,215,katrin_staffler,Katrin Staffler
Stamm-Fibich,Martina,SPD,Bayern,Erlangen,242,stamm_fibich,Martina Stamm-Fibich
Stark-Watzinger,Bettina,FDP,Hessen,Main-Taunus,181,starkwatzinger,Bettina Stark-Watzinger
Steffel,Frank,CDU/CSU,Berlin,Berlin-Reinickendorf,77,franksteffel,Frank Steffel
Steffen,Sonja Amalie,SPD,Mecklenburg-Vorpommern,Vorpommern-Rügen – Vorpommern-Greifswald I,15,SteffenSonja,Sonja Steffen
Stefinger,Dr. Wolfgang,CDU/CSU,Bayern,München-Ost,218,StefingerMdB,Wolfgang Stefinger
Stegemann,Albert,CDU/CSU,Niedersachsen,Mittelems,31,StegemannAlbert,Albert Stegemann
Steier,Andreas,CDU/CSU,Rheinland-Pfalz,Trier,203,andreassteier,Andreas Steier
Stein,Mathias,SPD,Schleswig-Holstein,Kiel,5,stonie_kiel,Mathias Stein
Stein (Rostock),Peter,CDU/CSU,Mecklenburg-Vorpommern,Rostock – Landkreis Rostock II,14,Peter_Stein_CDU,Peter Stein
Steineke,Sebastian,CDU/CSU,Brandenburg,Prignitz – Ostprignitz-Ruppin – Havelland I,56,SteinekeCDU,Sebastian Steineke
Steiniger,Johannes,CDU/CSU,Rheinland-Pfalz,Neustadt – Speyer,208,josteiniger,Johannes Steiniger
Steinke,Kersten,Die Linke,Thüringen,Eichsfeld – Nordhausen – Kyffhäuserkreis,189,,Kersten Steinke
Stetten,Christian Freiherr von,CDU/CSU,Baden-Württemberg,Schwäbisch Hall – Hohenlohe,268,,Christian Stetten
Stier,Dieter,CDU/CSU,Sachsen-Anhalt,Burgenland – Saalekreis,73,,Dieter Stier
Storch,Beatrix von,AfD,,,,Beatrix_vStorch,Beatrix Storch
Storjohann,Gero,CDU/CSU,,,,gero_storjohann,Gero Storjohann
Strack-Zimmermann,Dr. Marie-Agnes,FDP,Nordrhein-Westfalen,Düsseldorf I,106,MAStrackZi,Marie-Agnes Strack-Zimmermann
Stracke,Stephan,CDU/CSU,Bayern,Ostallgäu,257,,Stephan Stracke
Straetmanns,Friedrich,Die Linke,Nordrhein-Westfalen,Bielefeld – Gütersloh II,132,FrStraetmanns,Friedrich Straetmanns
Strasser,Benjamin,FDP,Baden-Württemberg,Ravensburg,294,bstrasser,Benjamin Strasser
Straubinger,Max,CDU/CSU,Bayern,Rottal-Inn,230,,Max Straubinger
Strengmann-Kuhn,Dr. Wolfgang,Bündnis 90/Die Grünen,Hessen,Offenbach,185,W_SK,Wolfgang Strengmann-Kuhn
Strenz,Karin,CDU/CSU,Mecklenburg-Vorpommern,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,,Karin Strenz
Stübgen,Michael,CDU/CSU  *,Brandenburg,Elbe-Elster – Oberspreewald-Lausitz II,65,,Michael Stubgen
Stumpp,Margit,Bündnis 90/Die Grünen,Baden-Württemberg,Aalen – Heidenheim,270,margit_stumpp,Margit Stumpp
Suding,Katja,FDP,Hamburg,Hamburg-Altona,19,KatjaSuding,Katja Suding
Tack,Kerstin,SPD,Niedersachsen,Stadt Hannover I,41,,Kerstin Tack
Tackmann,Dr. Kirsten,Die Linke,Brandenburg,Prignitz – Ostprignitz-Ruppin – Havelland I,56,KirstenTackmann,Kirsten Tackmann
Tatti,Jessica,Die Linke,Baden-Württemberg,Reutlingen,289,,Jessica Tatti
Tauber,Dr. Peter,CDU/CSU,Hessen,Main-Kinzig – Wetterau II – Schotten,175,petertauber,Peter Tauber
Tausend,Claudia,SPD,Bayern,München-Ost,218,,Claudia Tausend
Tebroke,Dr. Hermann-Josef,CDU/CSU,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,100,,Hermann-Josef Tebroke
Teuteberg,Linda,FDP,Brandenburg,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,61,LindaTeuteberg,Linda Teuteberg
Theurer,Michael,FDP,Baden-Württemberg,Karlsruhe-Stadt,271,,Michael Theurer
Thews,Michael,SPD,Nordrhein-Westfalen,Hamm – Unna II,145,michael_thews,Michael Thews
Thies,Hans-Jürgen,CDU/CSU,Nordrhein-Westfalen,Soest,146,,Hans-Jurgen Thies
Thomae,Stephan,FDP,Bayern,Oberallgäu,256,stephanthomae,Stephan Thomae
Throm,Alexander,CDU/CSU,Baden-Württemberg,Heilbronn,267,alexander_throm,Alexander Throm
Tiemann,Dr. Dietlind,CDU/CSU,Brandenburg,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,60,dr_tiemann,Dietlind Tiemann
Tillmann,Antje,CDU/CSU,Thüringen,Erfurt – Weimar – Weimarer Land II,193,AntjeTillmann,Antje Tillmann
Todtenhausen,Manfred,FDP,Nordrhein-Westfalen,Wuppertal I,102,,Manfred Todtenhausen
Töns,Markus,SPD,Nordrhein-Westfalen,Gelsenkirchen,123,toens_NRW04,Markus Tons
Toncar,Dr. Florian,FDP,Baden-Württemberg,Böblingen,260,florian_toncar,Florian Toncar
Träger,Carsten,SPD,Bayern,Fürth,243,carstentraeger,Carsten Trager
Tressel,Markus,Bündnis 90/Die Grünen,Saarland,Saarlouis,297,MarkusTressel,Markus Tressel
Trittin,Jürgen,Bündnis 90/Die Grünen,Niedersachsen,Göttingen,53,#!,Jurgen Trittin
Uhl,Markus,CDU/CSU,Saarland,Homburg,299,MdBMarkusUhl,Markus Uhl
Ullmann,Prof. Dr. Andrew,FDP,,,,,Andrew Ullmann
Ullrich,Gerald,FDP,Thüringen,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,196,G_UllrichFDP,Gerald Ullrich
Ullrich,Dr. Volker,CDU/CSU,Bayern,Augsburg-Stadt,252,VolkerUllrich,Volker Ullrich
Ulrich,Alexander,Die Linke,Rheinland-Pfalz,Kaiserslautern,209,,Alexander Ulrich
Vaatz,Arnold,CDU/CSU,Sachsen,Dresden II – Bautzen II,160,,Arnold Vaatz
Veith,Oswin,CDU/CSU  *,Hessen,Wetterau I,177,,Oswin Veith
Verlinden,Dr. Julia,Bündnis 90/Die Grünen,Niedersachsen,Lüchow-Dannenberg – Lüneburg,37,julia_verlinden,Julia Verlinden
Vieregge,Kerstin,CDU/CSU,Nordrhein-Westfalen,Lippe I,135,,Kerstin Vieregge
Völlers,Marja-Liisa,SPD,Niedersachsen,Nienburg II – Schaumburg,40,MarjaVoellers,Marja-Liisa Vollers
Vöpel,Dirk,SPD,Nordrhein-Westfalen,Oberhausen – Wesel III,117,,Dirk Vopel
Vogel (Olpe),Johannes,FDP,Nordrhein-Westfalen,Olpe – Märkischer Kreis I,149,johannesvogel,Johannes Vogel
Vogel (Kleinsaara),Volkmar,CDU/CSU,Thüringen,Gera – Greiz – Altenburger Land,194,,Volkmar Vogel
Vogler,Kathrin,Die Linke,Nordrhein-Westfalen,Steinfurt III,128,voglerk,Kathrin Vogler
Vogt,Ute,SPD,Baden-Württemberg,Stuttgart I,258,utevogt,Ute Vogt
Vries,Christoph de,CDU/CSU,Hamburg,Hamburg-Mitte,18,,Christoph Vries
Vries,Kees de,CDU/CSU,Sachsen-Anhalt,Anhalt,71,,Kees Vries
Wadephul,Dr. Johann David,CDU/CSU,Schleswig-Holstein,Rendsburg-Eckernförde,4,JoWadephul,Johann Wadephul
Wagenknecht,Dr. Sahra,Die Linke,Nordrhein-Westfalen,Düsseldorf II,107,SWagenknecht,Sahra Wagenknecht
Wagner,Andreas,Die Linke,Bayern,Bad Tölz-Wolfratshausen – Miesbach,223,andi_wagner,Andreas Wagner
Wagner,Daniela,Bündnis 90/Die Grünen,Hessen,Darmstadt,186,danywagner_da,Daniela Wagner
Walter-Rosenheimer,Beate,Bündnis 90/Die Grünen,Bayern,Fürstenfeldbruck,215,beatewaro,Beate Walter-Rosenheimer
Wanderwitz,Marco,CDU/CSU,Sachsen,Chemnitzer Umland – Erzgebirgskreis II,163,wanderwitz,Marco Wanderwitz
Warken,Nina,CDU/CSU,Baden-Württemberg,,,ninawarken,Nina Warken
Weber,Gabi,SPD,Rheinland-Pfalz,Montabaur,204,GabiWeberSPD,Gabi Weber
Weeser,Sandra,FDP,Rheinland-Pfalz,Neuwied,197,sandra_weeser,Sandra Weeser
Wegner,Kai,CDU/CSU,Berlin,Berlin-Spandau – Charlottenburg Nord,78,kaiwegner,Kai Wegner
Weidel,Dr. Alice,AfD,Baden-Württemberg,Bodensee,293,alice_weidel,Alice Weidel
Weiler,Albert H.,CDU/CSU,Thüringen,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,195,,Albert Weiler
Weinberg,Harald,Die Linke,Bayern,Ansbach,241,haraldweinberg,Harald Weinberg
Weinberg (Hamburg),Marcus,CDU/CSU,Hamburg,Hamburg-Altona,19,marcusweinberg,Marcus Weinberg
Weingarten,Dr. Joe,SPD,Rheinland-Pfalz,Kreuznach,201,drjoeweingarten,Joe Weingarten
Weisgerber,Dr. Anja,CDU/CSU,Bayern,Schweinfurt,250,anjaweisgerber,Anja Weisgerber
Weiß (Emmendingen),Peter,CDU/CSU,Baden-Württemberg,Emmendingen – Lahr,283,PeterWeissMdB,Peter Weiss
Weiss (Wesel I),Sabine,CDU/CSU,Nordrhein-Westfalen,Wesel I,113,,Sabine Weiss
Wellenreuther,Ingo,CDU/CSU,Baden-Württemberg,Karlsruhe-Stadt,271,Wellenreuther,Ingo Wellenreuther
Wendt,Marian,CDU/CSU,Sachsen,Nordsachsen,151,MdbWendt,Marian Wendt
Werner,Katrin,Die Linke,Rheinland-Pfalz,Trier,203,katrin_werner,Katrin Werner
Westig,Nicole,FDP,Nordrhein-Westfalen,Rhein-Sieg-Kreis II,98,,Nicole Westig
Westphal,Bernd,SPD,Niedersachsen,Hildesheim,48,BerndWestphal4,Bernd Westphal
Weyel,Prof. Dr. Harald,AfD,Nordrhein-Westfalen,,,h_weyel,Harald Weyel
Whittaker,Kai,CDU/CSU,Baden-Württemberg,Rastatt,273,Kai_Whittaker,Kai Whittaker
Widmann-Mauz,Annette,CDU/CSU,Baden-Württemberg,Tübingen,290,AWidmannMauz,Annette Widmann-Mauz
Wiehle,Wolfgang,AfD,Bayern,München-Süd,219,WolfgangWiehle,Wolfgang Wiehle
Wiese,Dirk,SPD,Nordrhein-Westfalen,Hochsauerlandkreis,147,DirkWieseSPD,Dirk Wiese
Wiesmann,Bettina Margarethe,CDU/CSU,Hessen,Frankfurt am Main II,183,,Bettina Wiesmann
Wildberg,Dr. Heiko,AfD,Rheinland-Pfalz,Südpfalz,211,Heiko_Wildberg,Heiko Wildberg
Willkomm,Katharina,FDP,Nordrhein-Westfalen,Düren,90,k_willkomm,Katharina Willkomm
Willsch,Klaus-Peter,CDU/CSU,Hessen,Rheingau-Taunus – Limburg,178,,Klaus-Peter Willsch
Winkelmeier-Becker,Elisabeth,CDU/CSU,Nordrhein-Westfalen,Rhein-Sieg-Kreis I,97,,Elisabeth Winkelmeier-Becker
Wirth,Dr. Christian,AfD,Saarland,,,ChrWirthMdB,Christian Wirth
Witt,Uwe,AfD,Nordrhein-Westfalen,,,Witt_Uwe,Uwe Witt
Wittke,Oliver,CDU/CSU,Nordrhein-Westfalen,Gelsenkirchen,123,,Oliver Wittke
Yüksel,Gülistan,SPD,Nordrhein-Westfalen,Mönchengladbach,109,,Gulistan Yuksel
Zdebel,Hubertus,Die Linke,Nordrhein-Westfalen,Münster,129,ZdebelHubertus,Hubertus Zdebel
Zech,Tobias,CDU/CSU,Bayern,,,,Tobias Zech
Zeulner,Emmi,CDU/CSU,Bayern,Kulmbach,240,,Emmi Zeulner
Zickenheiner,Gerhard,Bündnis 90/Die Grünen,Baden-Württemberg,Lörrach – Müllheim,282,,Gerhard Zickenheiner
Ziegler,Dagmar,SPD,Brandenburg,Prignitz – Ostprignitz-Ruppin – Havelland I,56,,Dagmar Ziegler
